1	2	3	4	5	6	7	8	9
9999	10113	53.72N	7.15E	16	20110101	99999999	NORDERNEY	DL
9999	10184	54.10N	13.40E	6	19911000	99999999	GREIFSWALD	DE
EDWE	10200	53.38N	7.23E	1	0	99999999	EMDEN - FLUGPLATZ	DE
ETGB	10238	52.82N	9.93E	69	19951200	99999999	BERGEN (MIL)	DE
ETGW	10272	53.20N	12.52E	74	19951100	20009999	WITTSTOCK	DE
9999	10304	52.73N	7.33E	41	0	99999999	MEPPEN	DE
EDDV	10338	52.47N	9.70E	54	19950600	20009999	HANNOVER	DE
9999	10361	52.12N	11.58E	85	19911000	20009999	MAGDEBURG	DE
9999	10393	52.22N	14.12E	115	19911000	99999999	LIN	DE
EDZE	10410	51.40N	6.97E	153	19950100	99999999	ESSEN/MULHEIM	DE
9999	10437	51.13N	9.28E	223	0	99999999	FRITZLAR - KASSELER WARTE	DE
9999	10468	51.55N	12.07E	106	0	99999999	OPPIN	DE
9999	10486	51.12N	13.68E	232	19920200	20009999	WAHNSDORF	DE
9999	10499	51.17N	14.95E	238	19911000	20009999	GOERLITZ	DE
9999	10548	50.57N	10.37E	450	19911000	99999999	MEININGEN	DE
EDDE	10554	50.98N	10.97E	323	19950100	20009999	ERFURT/BINDERSLEBEN	DE
9999	10577	50.80N	12.87E	419	19920300	20009999	CHEMNITZ	DE
ETGI	10618	49.70N	7.33E	376	19950100	99999999	IDAR-OBERSTEIN(MIL)	DE
9999	10739	48.83N	9.20E	315	0	99999999	STUTTGART/SCHNARRENBERG	DE
EDDN	10763	49.50N	11.08E	312	19910500	20009999	NURNBERG	DE
ETGK	10771	49.43N	11.90E	419	19950100	99999999	KUEMMERSBRUCK	DE
9999	10828	48.10N	9.25E	646	0	99999999	SIGMARINGEN	DE
9999	10868	48.25N	11.55E	489	0	99999999	MUENCHEN/OBERSCHLEISSHEIM	DE
9999	10954	47.83N	10.87E	757	20110101	99999999	ALTENSTADT/SHONGUA	DL
9999	10962	47.80N	11.02E	986	0	99999999	HOHENPEISSENBERG	DE
LOWL	11010	48.23N	14.20E	313	19950100	99999999	LINZ (CIV/MIL)	AT
LOXL	11011	48.23N	14.18E	298	19920900	20009999	HORSCHING (AUS-AFB)	AT
9999	11035	48.25N	16.37E	200	19920100	99999999	WIEN/HOHE WARTE	AT
LOWW	11036	48.12N	16.57E	190	0	20009999	VIENNA/SCHWECHAT	AT
LOWI	11120	47.27N	11.35E	581	19970300	99999999	INNSBRUCK AIRPORT	AT
9999	11239	47.00N	15.43E	347	0	20009999	GRAZ/THALERHOF ARPT	AT
LOWG	11240	47.00N	15.43E	347	19941200	99999999	GRAZ (MIL/CIV)	AT
9999	11520	50.00N	14.45E	303	0	99999999	PRAGUE/LIBUS	CZ
9999	11722	49.08N	16.62E	195	19961200	99999999	BRNO REBESOVICE	CZ
9999	11747	49.45N	17.13E	216	0	99999999	PROSTEJOV	CZ
9999	11952	49.03N	20.32E	701	0	99999999	POPRAD/GANOVCE	SK
9999	12120	54.75N	17.53E	2	0	99999999	LEBA	PL
9999	12374	52.40N	20.97E	96	0	99999999	LEGIONOWO	PL
9999	12425	51.13N	16.98E	116	0	99999999	WROCLAW/MALY GADOW	PL
9999	12843	47.43N	19.18E	139	0	99999999	BUDAPEST/LORINC	HU
LHUD	12982	46.25N	20.10E	84	19951200	99999999	SZEGED (AUT)	HU
9999	13275	44.77N	20.42E	203	19960300	99999999	BEOGRAD KOSUTNJAK	YU
LYNI	13388	43.33N	21.90E	202	20160000	99999999	LYNI	SI
LWSK	13586	41.97N	21.65E	239	19950500	99999999	SKOPJE/PETROVAC	YU
9999	14015	46.07N	14.52E	316	19960300	99999999	LJUBLJANA\BEZIGRAD	SI
LDDD	14240	45.82N	16.03E	123	19960300	99999999	ZAGREB\MAKSIMIR	HR
9999	14430	44.09N	15.35E	84	20020000	99999999	ZADAR	CR
9999	15001	48.02N	26.95E	240	19901100	20009999	AVRAMENI	RO
LRCL	15120	46.78N	23.57E	413	19910600	99999999	CLUJ-NAPOCA/SOMESEN	RO
LRBS	15420	44.50N	26.13E	91	19901100	99999999	BUCHAREST/BANEASA	RO
9999	15480	44.18N	28.67E	14	19910500	99999999	CONSTANTA	RO
LBSF	15614	42.65N	23.38E	595	19920700	99999999	SOFIA (OBSERVATORY)	BG
LIPD	16044	46.04N	13.18E	94	19951100	99999999	UDINE/CAMPOFORMIDO	IT
LIPI	16045	45.97N	13.05E	52	20160118	99999999	UDINE/RIVOLTO	IT
LIML	16080	45.43N	9.28E	103	19951100	99999999	MILANO/LINATE	IT
9999	16087	45.45N	11.00E	90	0	99999999	VERONA	IT
9999	16113	44.53N	7.62E	386	0	99999999	CUNEO - LEVALDIGI	IT
9999	16121	44.40N	8.90E	45	0	99999999	GENOVA	IT
9999	16144	44.65N	11.62E	38	19900600	99999999	S. PIETRO CAPOFIUME	IT
LIRE	16245	41.65N	12.43E	12	19951100	99999999	PRATICA DI MARE(AB)	IT
